timestamp,dataset,method,feat_dim,time_sec
2026-04-01T13:24:49.572725,EMP/Yeast_H3,qt_d6_p0p05_m8,4096,2.417379638995044
2026-04-01T13:30:13.586237,EMP/Yeast_H3,wms_k4_5_6_grid,5376,135.56142201798502
2026-04-01T13:34:38.872352,EMP/Yeast_H3,wms_k4_5_6_grid,5376,134.82588596094865
2026-04-01T13:36:44.872445,EMP/Yeast_H3,wavelet_l1,16384,2.8636527149938047
2026-04-01T13:39:30.906845,EMP/Yeast_H3,wavelet_l2,20480,5.353334139101207
2026-04-01T13:42:27.512636,EMP/Yeast_H3,wavelet_l3,21504,5.838294054032303
2026-04-01T13:47:21.010538,EMP/Yeast_H3,qt_d6_p0p01_m0,4096,1.8306521229678765
2026-04-01T13:50:21.879163,EMP/Yeast_H3,qt_d6_p0p01_m4,4096,1.898706155945547
2026-04-01T13:53:21.964413,EMP/Yeast_H3,qt_d6_p0p01_m8,4096,1.9139693799661472
2026-04-01T13:56:23.654641,EMP/Yeast_H3,qt_d6_p0p05_m0,4096,3.0676232429686934
2026-04-01T13:59:28.208849,EMP/Yeast_H3,qt_d6_p0p05_m4,4096,2.7433719970285892
2026-04-01T14:02:35.705904,EMP/Yeast_H3,qt_d6_p0p1_m0,4096,4.156613997998647
2026-04-01T14:05:41.200283,EMP/Yeast_H3,qt_d6_p0p1_m4,4096,3.6447076679905877
2026-04-01T14:08:43.830773,EMP/Yeast_H3,qt_d6_p0p1_m8,4096,2.9277736470103264
2026-04-01T14:11:51.723211,EMP/Yeast_H3,qt_d7_p0p01_m0,16384,3.024173929938115
2026-04-01T14:18:33.616261,EMP/Yeast_H3,qt_d7_p0p01_m4,16384,3.0191429120022804
2026-04-01T14:25:13.358443,EMP/Yeast_H3,qt_d7_p0p01_m8,16384,2.848414215957746
2026-04-01T14:32:04.973050,EMP/Yeast_H3,qt_d7_p0p05_m0,16384,4.21222858002875
2026-04-01T14:38:55.721348,EMP/Yeast_H3,qt_d7_p0p05_m4,16384,3.949296012055129
